1;Республика Татарстан;1
2;Москва и Московская обл.;1
3;Санкт-Петербург и область;1
4;Адыгея;1
5;Алтайский край;1
6;Амурская обл.;1
7;Архангельская обл.;1
8;Астраханская обл.;1
9;Башкортостан (Башкирия);1
10;Белгородская обл.;1
11;Брянская обл.;1
12;Бурятия;1
13;Владимирская обл.;1
14;Волгоградская обл.;1
15;Вологодская обл.;1
16;Воронежская обл.;1
17;Дагестан;1
18;Еврейская обл.;1
19;Ивановская обл.;1
20;Иркутская обл.;1
21;Кабардино-Балкария;1
22;Калининградская обл.;1
23;Калмыкия;1
24;Калужская обл.;1
25;Камчатская обл.;1
26;Карелия;1
27;Кемеровская обл.;1
28;Кировская обл.;1
29;Коми;1
30;Костромская обл.;1
31;Краснодарский край;1
32;Красноярский край;1
33;Курганская обл.;1
34;Курская обл.;1
35;Липецкая обл.;1
36;Магаданская обл.;1
37;Марий Эл;1
38;Мордовия;1
39;Мурманская обл.;1
40;Нижегородская (Горьковская);1
41;Новгородская обл.;1
42;Новосибирская обл.;1
43;Омская обл.;1
44;Оренбургская обл.;1
45;Орловская обл.;1
46;Пензенская обл.;1
47;Пермская обл.;1
48;Приморский край;1
49;Псковская обл.;1
50;Ростовская обл.;1
51;Рязанская обл.;1
52;Самарская обл.;1
53;Саратовская обл.;1
54;Саха (Якутия);1
55;Сахалин;1
56;Свердловская обл.;1
57;Северная Осетия;1
58;Смоленская обл.;1
59;Ставропольский край;1
60;Тамбовская обл.;1
61;Татарстан;1
62;Тверская обл.;1
63;Томская обл.;1
64;Тува (Тувинская Респ.);1
65;Тульская обл.;1
66;Тюменская обл.;1
67;Удмуртия;1
68;Ульяновская обл.;1
69;Уральская обл.;1
70;Хабаровский край;1
71;Хакасия;1
72;Ханты-Мансийский АО;1
73;Челябинская обл.;1
74;Чечено-Ингушетия;1
75;Читинская обл.;1
76;Чувашия;1
77;Чукотский АО;1
78;Ямало-Ненецкий АО;1
79;Ярославская обл.;1
